최저가,상품명,품목,밴드형태,화면크기,해상도,화면종류,화면,블루투스버전,항목,건강관리,부가기능,방수기능,대기,배터리종류,배터리용량,무게(밴드포함),무게,네트워크,내장OS,호환가능OS,사용시간,색상,재질,무게(본체),램,내장메모리,디자인,컨트롤,단자,CPU,충전,크기,항목2,통화유무,통화,음악,송신,크기(지름)
16650,샤오미미밴드,스마트밴드,밴드교체형,"0.95""",120x240,AM-OLED,터치스크린,블루투스5.0,"SNS, 문자, 전화","이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 스트레칭알림","다중언어, 배터리확인, 화면테마설정, 알람설정, 진동경보",방수(5ATM),20일,배터리일체형,135mAh,22g,22.1g,,,"iOS7.0이상, 안드로이드4.4이상",,"블랙, 블루, 오렌지, 핑크 외 2가지",,,,,,,,,,,,,,,,
17360,샤오미미밴드2,스마트밴드,밴드교체형,"0.42""",120x240,AM-OLED,터치스크린,블루투스5.0,"SNS, 문자, 전화","이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 스트레칭알림","다중언어, 배터리확인, 화면테마설정, 알람설정, 진동경보",방수(5ATM),20일,배터리일체형,135mAh,22g,22.1g,,,"iOS, 안드로이드",,,,,,,,,,,,,,,,,,
35790,아비람S2,스마트밴드,밴드교체형,"0.95""",120x240,AM-OLED,터치스크린,블루투스5.0,"SNS, 문자, 전화","이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 스트레칭알림","다중언어, 배터리확인, 화면테마설정, 알람설정, 진동경보",방수(5ATM),20일,배터리일체형,135mAh,22g,22.1g,,,"iOS7.0이상, 안드로이드4.3이상",,"레드, 블랙, 화이트",,,,,,음악플레이어,,,,,,,,,,
26880,브리츠BA-SW5Light,스마트밴드,밴드교체형,"0.95""",120x240,AM-OLED,터치스크린,블루투스5.0,"SNS, 문자, 전화","이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 스트레칭알림","다중언어, 배터리확인, 화면테마설정, 알람설정, 진동경보",생활방수,5~7일,배터리일체형,135mAh,22g,22.1g,,,,3일,,,,,,,,,,,,,,,,,
137280,핏빗AltaHR,스마트밴드,밴드교체형,"0.95""",120x240,AM-OLED,터치스크린,블루투스5.0,"SNS, 문자, 전화","이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 스트레칭알림","다중언어, 배터리확인, 화면테마설정, 알람설정, 진동경보",생활방수,20일,배터리일체형,135mAh,22g,22.1g,,,,7일,,,,,,,,,,,,,,,,,
138970,핏빗Charge3,스마트밴드,밴드교체형,"0.95""",120x240,AM-OLED,터치스크린,블루투스5.0,"SNS, 문자, 전화","이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 스트레칭알림","다중언어, 배터리확인, 화면테마설정, 알람설정, 진동경보",생활방수(최대50m),,,,,,,,,,,,,,,,,,,,,,,,,,
79730,핏빗ChargeHR,스마트밴드,밴드일체형,"0.95""",120x240,AM-OLED,터치스크린,블루투스5.0,"SNS, 문자, 전화","이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 스트레칭알림","다중언어, 배터리확인, 화면테마설정, 알람설정, 진동경보",방수(5ATM),20일,배터리일체형,135mAh,22g,22.1g,,,"윈도, MAC, iOS, 안드로이드",5일,"블랙, 블루, 텐저린, 플럼",,,,,,,microUSB,,,,,,,,,
100280,핏빗Flex2,스마트밴드,밴드교체형,"0.95""",120x240,AM-OLED,터치스크린,블루투스5.0,"SNS, 문자, 전화","이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 스트레칭알림","다중언어, 배터리확인, 화면테마설정, 알람설정, 진동경보",방수(5ATM),20일,배터리일체형,135mAh,22g,22.1g,,,,,,,23.5g,,,,,,,,,,,,,,
56200,샤오미미밴드4어벤져스에디션,스마트밴드,밴드교체형,"0.95""",120x240,AM-OLED,터치스크린,블루투스5.0,"SNS, 문자, 전화","이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 스트레칭알림","다중언어, 배터리확인, 화면테마설정, 알람설정, 진동경보",방수(5ATM),20일,배터리일체형,135mAh,22g,22.1g,,,,,,,,,,,,,,,,,,,,,
25020,샤오미미밴드1S,스마트밴드,밴드교체형,"0.95""",120x240,AM-OLED,터치스크린,블루투스5.0,"SNS, 문자, 전화","이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 스트레칭알림","다중언어, 배터리확인, 화면테마설정, 알람설정, 진동경보",방수(5ATM),20일,배터리일체형,135mAh,22g,5.5g,,,"iOS, 안드로이드",,,,,,,,,,,,,,,,,,
