0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
472450,애플워치시리즈540mm(스페이스그레이알루미늄),스마트워치,밴드교체형,무선랜(WiFi),"1.4""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS9.0이상",768M,4G내장,"SNS, 문자, 전화","스트레스모니터링, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계","넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),최대18시간,배터리일체형,,,,,,,,,,,,,,,,,,
126440,샤오미화미어메이즈핏GTR47mm알루미늄,스마트워치,밴드교체형,무선랜(WiFi),"1.4""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS9.0이상",768M,4G내장,"SNS, 문자, 전화","스트레스모니터링, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계","GPS, 내휴대폰찾기, 날씨, 스톱워치, 가속계센서, NFC, 나침반센서, 기압센서",생활방수(IP68),"평균 60시간,최대 131시간",배터리일체형,330mAh,스테인리스스틸,36g,,,,,,,,,,,,,,,
169200,삼성전자갤럭시워치액티브,스마트워치,밴드교체형,무선랜(WiFi),"1.1""",360x360,슈퍼AM-OLED,터치스크린,블루투스4.2,타이젠,"안드로이드5.0, iOS9.0이상",768M,4G내장,"SNS, 문자, 전화","스트레스모니터링, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계","다중언어, GPS, 원격촬영, 음성명령, 화면테마설정, 자이로센서, NFC, 무선충전",생활방수(IP68),"평균 60시간,최대 131시간",배터리일체형,230mAh,스테인리스스틸,25g,,,,"실버, 그린, 블랙, 로즈골드",,,,,,,,,,,
236370,삼성전자갤럭시워치액티브240mm스테인리스,스마트워치,밴드교체형,무선랜(WiFi),"1.4""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS9.0이상",768M,4G내장,"SNS, 문자, 전화","스트레스모니터링, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계","다중언어, GPS, 원격촬영, 음성명령, 화면테마설정, 자이로센서, NFC, 무선충전",생활방수(IP68),"평균 60시간,최대 131시간",배터리일체형,330mAh,스테인리스스틸,37g,,,,,,,,,,,,,,,
122770,샤오미화미어메이즈핏GTR42mm,스마트워치,밴드교체형,무선랜(WiFi),"1.4""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS9.0이상",768M,4G내장,"SNS, 문자, 전화","스트레스모니터링, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계","다중언어, GPS, 원격촬영, 음성명령, 화면테마설정, 자이로센서, NFC, 무선충전",방수(5ATM),"평균 60시간,최대 131시간",배터리일체형,195mAh,,,,,,,,,,,,,,,,,
127890,샤오미화미어메이즈핏T-Rex,스마트워치,밴드교체형,무선랜(WiFi),"1.4""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS9.0이상",768M,4G내장,"SNS, 문자, 전화","스트레스모니터링, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계","다중언어, GPS, 원격촬영, 음성명령, 화면테마설정, 자이로센서, NFC, 무선충전",생활방수(IP68),"평균 60시간,최대 131시간",배터리일체형,390mAh,스테인리스스틸,42g,,,,,66일,,,,,,,,,,
472450,애플워치시리즈540mm(실버알루미늄),스마트워치,밴드교체형,무선랜(WiFi),"1.4""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS9.0이상",768M,4G내장,"SNS, 문자, 전화","스트레스모니터링, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계","넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),최대18시간,배터리일체형,,,,,,,,,,,,,,,,,,
350890,순토트래버스알파,스마트워치,밴드교체형,무선랜(WiFi),"1.4""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS9.0이상",768M,4G내장,"SNS, 문자, 전화","일일활동량측정, 달리기, 사이클링, 칼로리측정, 만보계","GPS, 스톱워치, 배터리확인, 온도확인, 고도센서, 나침반센서, 기압센서, 알람설정",방수(최대100m),"평균 60시간,최대 131시간",배터리일체형,330mAh,스테인리스스틸,75g,,,,,,,,,,,,,,,
80320,샤오미화미어메이즈핏빕S,스마트워치,밴드교체형,무선랜(WiFi),"1.4""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS9.0이상",768M,4G내장,"SNS, 문자, 전화","스트레스모니터링, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계","심박센서, GPS, 날씨",생활방수(IP68),40일,배터리일체형,330mAh,스테인리스스틸,31g,,,,,,음악플레이어,,,,,,,,,
200080,샤오미화미어메이즈핏GTR47mm티타늄,스마트워치,밴드교체형,무선랜(WiFi),"1.4""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS9.0이상",768M,4G내장,"SNS, 문자, 전화","스트레스모니터링, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계","GPS, 내휴대폰찾기, 날씨, 스톱워치, 가속계센서, NFC, 나침반센서, 기압센서",생활방수(IP68),"평균 60시간,최대 131시간",배터리일체형,330mAh,스테인리스스틸,40g,,,,,,,,,,,,,,,
139310,삼성전자기어S3프론티어,스마트워치,밴드교체형,무선랜(WiFi),"1.3""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS9.0이상",768M,4G내장,"SNS, 문자, 전화","스트레스모니터링, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계","다중언어, GPS, 원격촬영, 음성명령, 화면테마설정, 자이로센서, NFC, 무선충전",생활방수(IP68),"평균 60시간,최대 131시간",배터리일체형,330mAh,스테인리스스틸,42g,,"1GHz, 듀얼코어",,,,,실리콘밴드(22mm 표준밴드호환),,,,,,,,
126449,KOSPETPrime,스마트워치,밴드교체형,무선랜(WiFi),"1.6""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS9.0이상",768M,4G내장,"SNS, 문자, 전화","스트레스모니터링, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계","다중언어, GPS, 원격촬영, 음성명령, 화면테마설정, 자이로센서, NFC, 무선충전",생활방수(IP68),"평균 60시간,최대 131시간",배터리일체형,330mAh,스테인리스스틸,42g,,,,,,,,LTE,800만화소,,,,,,
185070,가민포러너45,스마트워치,밴드교체형,무선랜(WiFi),"1.4""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS9.0이상",768M,4G내장,"SNS, 문자, 전화","스트레스모니터링, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계","다중언어, GPS, 원격촬영, 음성명령, 화면테마설정, 자이로센서, NFC, 무선충전",생활방수(IP68),최대7일,배터리일체형,330mAh,스테인리스스틸,42g,,,,,,,,,,36g,,,,,
49040,엑스핏XfitGTS,스마트워치,밴드교체형,무선랜(WiFi),"1.4""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS9.0이상",768M,4G내장,"SNS, 문자, 전화","스트레스모니터링, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계","다중언어, GPS, 원격촬영, 음성명령, 화면테마설정, 자이로센서, NFC, 무선충전",생활방수(IP68),"평균 60시간,최대 131시간",배터리일체형,330mAh,스테인리스스틸,24.9g,,,,"실버+화이트, 블랙, 골드+핑크",,,,,,,,,,,
47220,샤오미화미어메이즈핏빕라이트,스마트워치,밴드교체형,무선랜(WiFi),"1.4""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS9.0이상",768M,4G내장,"SNS, 문자, 전화","이동거리측정, 달리기, 심박측정, 운동정보기록, 수면패턴분석, 만보계, 스트레칭알림","다중언어, GPS, 원격촬영, 음성명령, 화면테마설정, 자이로센서, NFC, 무선충전",방수(3ATM),"평균 60시간,최대 131시간",배터리일체형,200mAh,,,,,,,,,,,,,,,,,
288900,애플워치시리즈3Nike+42mm(스페이스그레이),스마트워치,밴드교체형,무선랜(WiFi),"1.4""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS9.0이상",768M,4G내장,"SNS, 문자, 전화","호흡가이드, 일일활동량측정, 이동거리측정, 수영모니터링, 심박측정, 운동정보기록, 운동코칭, 만보계","심박센서, GPS, 음성명령(Siri), 자이로센서, 가속계센서, 기압센서, 음악 스트리밍",생활방수(IP68),"평균 60시간,최대 131시간",배터리일체형,330mAh,알루미늄,,,,,,,,,,,,,,,,
188420,화웨이워치GT246mm엘리트,스마트워치,밴드교체형,무선랜(WiFi),"1.4""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS9.0이상",768M,4G내장,"SNS, 문자, 전화","스트레스모니터링, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계","다중언어, GPS, 원격촬영, 음성명령, 화면테마설정, 자이로센서, NFC, 무선충전",생활방수(IP68),"평균 60시간,최대 131시간",배터리일체형,330mAh,스테인리스스틸,42g,,,,,,음악플레이어,,,,,,,,,
199300,삼성전자갤럭시워치LTE46mm,스마트워치,밴드교체형,무선랜(WiFi),"1.4""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS9.0이상",768M,4G내장,"SNS, 문자, 전화","스트레스모니터링, 호흡가이드, 달리기, 수영모니터링, 심박측정, 운동정보기록, 수면패턴분석","심박센서, GPS, 날씨, 일정관리, 자이로센서, NFC, 고도센서, 기압센서, 속도계","생활방수(IP68), 방수(5ATM)","평균 80시간,최대 168시간",배터리일체형,330mAh,스테인리스스틸,42g,,,,,,,,LTE,,,,,,,
341800,삼성전자갤럭시워치액티브244mmLTE스테인리스,스마트워치,밴드교체형,무선랜(WiFi),"1.4""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS9.0이상",768M,4G내장,"SNS, 문자, 전화","스트레스모니터링, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계","다중언어, GPS, 원격촬영, 음성명령, 화면테마설정, 자이로센서, NFC, 무선충전",생활방수(IP68),"평균 60시간,최대 131시간",배터리일체형,330mAh,스테인리스스틸,42g,,,,,,,,LTE,,,,,,,
157360,파슬FTW4012,스마트워치,밴드교체형,무선랜(WiFi),"1.4""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS9.0이상",768M,4G내장,"SNS, 문자, 전화","스트레스모니터링, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계","다중언어, GPS, 원격촬영, 음성명령, 화면테마설정, 자이로센서, NFC, 무선충전",생활방수(IP67),"평균 60시간,최대 131시간",배터리일체형,330mAh,스테인리스스틸,42g,,,,,,음악플레이어,,,,,,,,,
359700,삼성전자갤럭시워치액티브240mmLTE알루미늄,스마트워치,밴드교체형,무선랜(WiFi),"1.4""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS9.0이상",768M,4G내장,"SNS, 문자, 전화","스트레스모니터링, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계","다중언어, GPS, 원격촬영, 음성명령, 화면테마설정, 자이로센서, NFC, 무선충전",생활방수(IP68),"평균 60시간,최대 131시간",배터리일체형,330mAh,스테인리스스틸,42g,,,,,,,,LTE,,,,,,,
141990,삼성전자기어S3클래식,스마트워치,밴드교체형,무선랜(WiFi),"1.3""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS9.0이상",768M,4G내장,"SNS, 문자, 전화","스트레스모니터링, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계","다중언어, GPS, 원격촬영, 음성명령, 화면테마설정, 자이로센서, NFC, 무선충전",생활방수(IP68),"평균 60시간,최대 131시간",배터리일체형,330mAh,스테인리스스틸,42g,,"1GHz, 듀얼코어",,,,,가죽밴드(22mm 표준밴드호환),,,,,,,,
