id,댓글,공감수
1,"

ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 시밬ㅋㅋㅋㅋ ㅋ인트로
",3
1,"

인트로 때문에 보는 유트버~ㅋㅋ
",3
1,"

시계 방향으로 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 인트로 미쳤다 ㅋㅋㅋㅋㅋㅋ
",3
1,"

ㅋㅋㅋㅋ아 우리햄 ㅋㅋㅋㅋ 맛평가 뭡니깤ㅋㅋㅋㅋㅋㅋㅋ
",3
1,"

진짜 발음............. ㅋㅋㅋㅋㅋㅋㅋ
",3
1,"

맛테스트 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
",3
1,"

미밴드3는 알람 진동기능이 진짜 좋았는데 미밴드 4에도 진동기능 있나요?
3 산지 사실 몇달 안되는데 고민되네요 ㅋㅋ 가격이 워낙싸다보니까
",3
1,"

참고로 미밴드4 국내 정발은 9월입니다
",3
1,"

나:미밴드4가 출시되기 전에 미밴드3를 산 흑우입니다...... 






잇섭: 그런 걸
나:존버실패라 하죠
잇섭:(.......)
",3
1,"

??? : 이밴드는 내것이 아닌데
??? : Mi밴드가 내 밴드인데
",3
1,"

ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄲ인트로
",3
1,"

맛테스트 개뿜었다 ㅋㅋㅋㅋ
",3
1,"

4:03 많이 익숙한 손놀림;;;;
",3
1,"

4:00 숙련된 ""조교""
",3
1,"

맛테스트에서 겁나 웃었네 ㅋㅋㅋㅋ
",3
1,"

하 ㅅㅂ 3산지 몇개월됬다구ㅠㅠㅠㅠ 나느뉴ㅠㅠ
",3
1,"

ㅋㅋㅋㅋㅋㅋ 맛테스틐ㅋㅋㅋㅋㅋ
",3
1,"

기생충 보셨구나 ㅋㅋㅋ
",3
1,"

시계방향 ㅋㅋㅋㅋㅋ
",3
1,"

삼성 망했네ㅋㅋㅋ
",3
1,"

3:00 미밴드는 무선 충전을 지원하지 않는 이유가 있습니다! 그냥 1달 정도 텀 두고 충전 생각날때 아 미밴드 충전! 하고 끼워두면 됩니다!
",3
1,"

싴ㅋㅋㅋㅋㅋ곜ㅋㅋㅋㅋㅋㅋ밬ㅇㅋㅋㅌㅋㅋㅌ햩ㅋㄱㅌㅋㄱㅋㄱㄱㅋㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㅋ
",3
1,"

한국어 지원되면 진짜 많이 살것 같네요. 액티비티한 분들은 괜춘할듯....
",3
1,"

시계방향으로 ㅋㅋㅋㅋ 영화보셧구나 ㅋㅋㅋ
",3
1,"

4:44 ㅗㅜㅑ핡짝
",3
1,"

리뷰보고 사서 정말 잘 쓰고 있습니다^^~~
",3
1,"

인트로ㅋㅋ
",3
1,"

밑에서 삽입!
",3
1,"

설명을 맛깔나게 하셔서 자꾸 보다 구독해버려땅ㅋㅋ
",3
